ruta,bytes_antes,bytes_despues,bytes_ahorrados,dimensiones_antes,dimensiones_despues,calidad,estado
assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_tonico_anticaida/la_receta_cbd_tonico_anticaida_0.webp,11236,11130,106,800x800,800x800,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/la_receta_cbd_tonico_anticaida/la_receta_cbd_tonico_anticaida_1.webp,86676,85042,1634,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_anti_frizz_y_fortalecedor/milagros_acondicionador_anti_frizz_y_fortalecedor_0.webp,118474,116226,2248,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_anti_frizz_y_fortalecedor/milagros_acondicionador_anti_frizz_y_fortalecedor_1.webp,13220,12928,292,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_milagro_herbal/milagros_acondicionador_milagro_herbal_0.webp,116366,113096,3270,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_milagro_herbal/milagros_acondicionador_milagro_herbal_1.webp,14294,14006,288,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_milagro_herbal/milagros_acondicionador_milagro_herbal_2.webp,16990,16410,580,800x829,800x829,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_acondicionador_milagro_herbal/milagros_acondicionador_milagro_herbal_3.webp,14256,13870,386,800x778,800x778,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_mascarilla_reparadora_para_cabello/milagros_mascarilla_reparadora_para_cabello_0.webp,122236,119028,3208,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_mascarilla_reparadora_para_cabello/milagros_mascarilla_reparadora_para_cabello_1.webp,10232,9994,238,748x938,748x938,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_mascarilla_reparadora_para_cabello/milagros_mascarilla_reparadora_para_cabello_3.webp,10166,9782,384,751x941,751x941,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_shampoo_emergencia_capilar/milagros_shampoo_emergencia_capilar_0.webp,117848,114658,3190,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_shampoo_emergencia_capilar/milagros_shampoo_emergencia_capilar_1.webp,14144,13760,384,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_shampoo_ultranutritivo_premium/milagros_shampoo_ultranutritivo_premium_0.webp,120390,118274,2116,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_shampoo_ultranutritivo_premium/milagros_shampoo_ultranutritivo_premium_1.webp,13060,12710,350,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_bio_reparador/milagros_tratamiento_capilar_bio_reparador_0.webp,119526,117140,2386,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_bio_reparador/milagros_tratamiento_capilar_bio_reparador_1.webp,12882,12628,254,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_milagros/milagros_tratamiento_capilar_milagros_0.webp,117990,116006,1984,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_milagros/milagros_tratamiento_capilar_milagros_1.webp,9262,9032,230,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_milagros/milagros_tratamiento_capilar_milagros_2.webp,22282,22028,254,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_milagros/milagros_tratamiento_capilar_milagros_3.webp,13884,13626,258,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/milagros_tratamiento_capilar_milagros/milagros_tratamiento_capilar_milagros_4.webp,23536,23154,382,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/rolda_gel_fijador/rolda_gel_fijador_0.webp,123010,120292,2718,1055x1491,1055x1491,80,optimizada
